serie_name,season_episode,categories,serie_rate,description,country,duration,serie_link
From,SS 3 / EPS 2,Drama,7.6,"Untangle the secret of a nightmarish community in middle America that traps all those who go into. As the unwilling locals deal with to maintain a sense of normality and search for a way out, they should also make it through the dangers of the surrounding forest-- consisting of the distressing animals that come out when the sunlight goes down.",USA,45.0,https://goku.sx/series/watch-from-77455
Immoral Guild,SS 1 / EPS 12,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",6.1,"The skilled hunter Kikuru Madan has decided to retire out of fear of wasting his youth. One day, a guild staff member suggests that he go on a quest with a new female martial artist named Hitamu Kyan. However, she keeps getting hit by monsters one after another.",Japan,24.0,https://goku.sx/series/watch-immoral-guild-114736
Agatha All Along,SS 1 / EPS 3,"Sci-Fi & Fantasy, Action & Adventure, Mystery",6.8,"Agatha Harkness gathers a coven of witches and sets off down, down, down The Witches' Road.",USA,45.0,https://goku.sx/series/watch-agatha-all-along-114238
Gogol,SS 1 / EPS 8,"Mystery, Drama, Action & Adventure, Sci-Fi & Fantasy",6.8,"The year 1829. Nikolay Gogol, a young Third Section clerk, is desperate: his own books seem shallow and mediocre, so he keeps buying entire print runs just to burn them all. He is suffering from violent epileptic seizures and struggles to keep on working. Investigator Yakov Guro accidentally witnesses one such fit and realizes that Gogol's visions contain clues that could help solve actual crimes. Together, Gogol and Guro take on a particularly weird and baffling case that brings them to a small village of Dikanka, where everyone has a huge secret to hide.",Russia,55.0,https://goku.sx/series/watch-gogol-114616
The Circle,SS 7 / EPS 12,Reality,7.3,"During this social experiment and competition show, online players flirt with each other and catfish their way to winning $100,000.",USA,50.0,https://goku.sx/series/watch-the-circle-60177
Paris Has Fallen,SS 1 / EPS 2,"Action & Adventure, War & Politics",6.5,"When a terrorist group led by the villainous Jacob Pearce attacks a high-profile event, with the French Minister of Defence as their target, protection officer Vincent Taleb finds himself working with street-smart MI6 operative Zara Taylor to save the day. But when events take a dark turn, Vincent and Zara soon realize that the plan extends beyond just one politician. When they suspect that one of their colleagues in the security services is feeding information to Jacob, Vincent and Zara find themselves needing to rely only on each other. Increasingly isolated and with Jacob always one step ahead, can this unlikely pair stop Paris from falling to a man hell-bent on vengeance?","USA, France, UK",52.0,https://goku.sx/series/watch-paris-has-fallen-114532
Last Week Tonight with John Oliver,SS 11 / EPS 24,"Talk, Comedy",8.9,"A half-hour satirical look at the week in news, politics and current events.",USA,30.0,https://goku.sx/series/watch-last-week-tonight-with-john-oliver-39347
Last King of the Cross,SS 2 / EPS 6,Drama,6.9,"Inspired by the best selling book by John Ibrahim, Last King of The Cross",Australia,45.0,https://goku.sx/series/watch-last-king-of-the-cross-93316
Jersey Shore: Family Vacation,SS 7 / EPS 20,Reality,6.7,"The Jersey Shore crew vowed to go on vacation together no matter what. As of this writing, the gang has reunited five years later, with the addition of five children, three weddings, and who knows how many GTL sessions.",USA,42.0,https://goku.sx/series/watch-jersey-shore-family-vacation-30238
City of God: The Fight Rages On,SS 1 / EPS 6,Drama,7.3,"Twenty years after City of God, Buscapé recounts how conflicts between police, traffickers, and militias impacted the community.",Brazil,45.0,https://goku.sx/series/watch-city-of-god-the-fight-rages-on-113251
"My Mum, Your Dad UK",SS 2 / EPS 10,Reality,7.0,"A dating show with a difference for the whole family, My Mum, Your Dad follows a group of single parents who have been nominated by their grown-up kids for a second chance at love. Across 10 hour-long episodes, audiences will be able to follow the single parents, from all over the UK, and all walks of life, as they live together at a stunning country house retreat with one objective: to find true love.",UK,60.0,https://goku.sx/series/watch-my-mum-your-dad-100324
Batwheels,SS 2 / EPS 20,"Kids, Animation",7.3,"The Batwheels are a team of smart, superpowered vehicles that help Batman, Robin, Batgirl, and a lot of other DC Super Heroes keep Gotham City safe. Our mechanized heroes were just made by the Batcomputer, so they have to deal with the growing pains that come with being a new super-team and with being kids.",USA,12.0,https://goku.sx/series/watch-batwheels-89488
